encoded_length	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	16		22
encoded_length	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	8		11
encoded_length	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	4		6
encoded_length	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	32		44
encode	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	1469208d-6867-9c28-5c26-ea10cdc85a5b		5dzhqvcnTcejJJiJhvWyL7
decode	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	5dzhqvcnTcejJJiJhvWyL7	0	1469208d-6867-9c28-5c26-ea10cdc85a5b
encode	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	5119773a-2535-8567-990c-24e1df67fda7		GSUqB4fB8B2KTYncXwUepn
decode	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	GSUqB4fB8B2KTYncXwUepn	0	5119773a-2535-8567-990c-24e1df67fda7
encode	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	0d7bac94-8a44-ad2b-1803-c69c8ab72aa9		4Qk8oREzRRiGAJPMrbveiE
decode	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	4Qk8oREzRRiGAJPMrbveiE	0	0d7bac94-8a44-ad2b-1803-c69c8ab72aa9
encode	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	4cc3a9ea-7b68-4ca5-c4a2-f61eea5f5468		FfWpcLkhhJYUKReKbRxCh6
decode	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	FfWpcLkhhJYUKReKbRxCh6	0	4cc3a9ea-7b68-4ca5-c4a2-f61eea5f5468
encode	23456789ABCDEFGHJKLMNPQRSTUVWXYZabcdefghijkmnopqrstuvwxyz	2019031d-2bda-ebbe-5dad-a76e81ec5433		7iXbDXPKW8pKGULR6Dx2xo
